LD_LIBRARY_PATH_64: Undefined variable
Timing 00: 0.001088 seconds
Timing 01: 0.000644 seconds
Timing 02: 0.000641 seconds
Timing 03: 0.000645 seconds
Timing 04: 0.00064 seconds
Timing 05: 0.000644 seconds
Timing 06: 0.000643 seconds
Timing 07: 0.000689 seconds
Timing 08: 0.000641 seconds
Timing 09: 0.000645 seconds
