LD_LIBRARY_PATH_64: Undefined variable
Timing 00: 9e-05 seconds
Timing 01: 2.1e-05 seconds
Timing 02: 2.1e-05 seconds
Timing 03: 2.1e-05 seconds
Timing 04: 2.1e-05 seconds
Timing 05: 2e-05 seconds
Timing 06: 2.1e-05 seconds
Timing 07: 2.1e-05 seconds
Timing 08: 2.1e-05 seconds
Timing 09: 2e-05 seconds
