LD_LIBRARY_PATH_64: Undefined variable
Timing 00: 0.000729 seconds
Timing 01: 0.000534 seconds
Timing 02: 0.000533 seconds
Timing 03: 0.000532 seconds
Timing 04: 0.000533 seconds
Timing 05: 0.000532 seconds
Timing 06: 0.000532 seconds
Timing 07: 0.000532 seconds
Timing 08: 0.000532 seconds
Timing 09: 0.000533 seconds
