LD_LIBRARY_PATH_64: Undefined variable
Timing 00: 0.00214 seconds
Timing 01: 0.000705 seconds
Timing 02: 0.000711 seconds
Timing 03: 0.000702 seconds
Timing 04: 0.0007 seconds
Timing 05: 0.000702 seconds
Timing 06: 0.000693 seconds
Timing 07: 0.000706 seconds
Timing 08: 0.000943 seconds
Timing 09: 0.000701 seconds
